dex,class,script_hash
Minswap,MinswapCPPState,a65ca58a4e9c755fa830173d2a5caed458ac0c73f97db7faae2e7e3b
Minswap,MinswapDJEDUSDCStableState,62d3e3975c6ec02d4002640413368a2d46ea10548b1cd217a3e9b7cd
Minswap,MinswapDJEDUSDMStableState,865085a4d810ed21f7677bdf3b1a93e1b75fd17f246d7f0243493cde
Minswap,MinswapDJEDiUSDStableState,4c4d65a0616f60adc2cba70f533705233b1d7e8cb3e9868cdca39d86
Minswap,MinswapUSDAUSDMStableState,f1d4865bce47591d67ec320e92eeb26b917389e65f8fb12bb9b38877
MinswapV2,MinswapV2CPPState,c3e28c36c3447315ba5a56f33da6a6ddc1770a876a8d9f0cb3a97c4c
Minswap,MinswapiUSDUSDCStableState,2aa1ae236856def55f77e6bb1aa5b43801ec0097f9e0a69fa24fc0ed
Minswap,MinswapiUSDUSDMStableState,96c2d95fc73740ef18abb95af68be279f80bb711eb69a527f3b1d713
MuesliSwap,MuesliSwapCPPState,00fb107bfbd51b3a5638867d3688e986ba38ff34fb738f5bd42b20d5
Spectrum,SpectrumCPPState,2618e94cdb06792f05ae9b1ec78b0231f4b7f4215b1b4cf52e6342de
Splash,SplashCPPBidirState,464eeee89f05aff787d40045af2a40a83fd96c513197d32fbc54ff02
SundaeSwap,SundaeSwapCPPState,ba158766c1bae60e2117ee8987621441fac66a5e0fb9c7aca58cf20a
SundaeSwapV3,SundaeSwapV3CPPState,fa6a58bbe2d0ff05534431c8e2f0ef2cbdc1602a8456e4b13c8f3077
VyFi,VyFiCPPState,5c8b908655af5e66d66364a935225a109ccd8bacee574f73a41486f9
VyFi,VyFiCPPState,b0ec5169d4022d97cb46bdef29046392b5f7f5f20445f7d599229a28
VyFi,VyFiCPPState,4eb2aa1f9cd14fee2ed944992431185b8c6d23c040e82aecf2632442
VyFi,VyFiCPPState,53877027445af2f9f614790fd179be2d3ce9e52d54e582980339255a
VyFi,VyFiCPPState,ea4a747d49c2a45e9dbe86d0c5c2ee1a3514d0630647161ef9f79f70
VyFi,VyFiCPPState,4379521eafc693d0b9386a1d98ff4e65e8864a208d4bf7a0776c46e0
VyFi,VyFiCPPState,22d0f7f5cb795e570618b952a52c30865ff15a98e6b8f80a95f690a6
VyFi,VyFiCPPState,d86959f6750e071be57287134fa8e4ce52b44dbefcc21ced037bcaae
VyFi,VyFiCPPState,3cf7158a6db3108c8a8a97f4eafbf09a96dbd2d4db2ca60c8387ca24
VyFi,VyFiCPPState,062b62e53b3aab57c450fd4f61c1acd85c23bbdacbdd5e0ffbcd57c9
VyFi,VyFiCPPState,bd2987874ad6dc99f14771419cd820be7cbe2495b51b78f8f87c4eec
